"Draw","chain","par","value","parameter","Behavior","Animal","Track","step","Previous_State"
1,1,"alpha[1]",0.896327248987468,"alpha","Traveling->Traveling",NA,NA,NA,1
2,1,"alpha[1]",0.818593472432856,"alpha","Traveling->Traveling",NA,NA,NA,1
3,1,"alpha[1]",0.847711492184692,"alpha","Traveling->Traveling",NA,NA,NA,1
4,1,"alpha[1]",0.794735480249418,"alpha","Traveling->Traveling",NA,NA,NA,1
5,1,"alpha[1]",0.959060195235577,"alpha","Traveling->Traveling",NA,NA,NA,1
6,1,"alpha[1]",0.543129458457613,"alpha","Traveling->Traveling",NA,NA,NA,1
7,1,"alpha[1]",0.87802537354249,"alpha","Traveling->Traveling",NA,NA,NA,1
8,1,"alpha[1]",0.670404262564399,"alpha","Traveling->Traveling",NA,NA,NA,1
9,1,"alpha[1]",0.597487783604414,"alpha","Traveling->Traveling",NA,NA,NA,1
10,1,"alpha[1]",0.87742210898252,"alpha","Traveling->Traveling",NA,NA,NA,1
11,1,"alpha[1]",0.777298362330479,"alpha","Traveling->Traveling",NA,NA,NA,1
12,1,"alpha[1]",0.939162247779828,"alpha","Traveling->Traveling",NA,NA,NA,1
13,1,"alpha[1]",0.189666262018909,"alpha","Traveling->Traveling",NA,NA,NA,1
14,1,"alpha[1]",0.00751798962548749,"alpha","Traveling->Traveling",NA,NA,NA,1
15,1,"alpha[1]",0.552943835464143,"alpha","Traveling->Traveling",NA,NA,NA,1
16,1,"alpha[1]",0.490605519797578,"alpha","Traveling->Traveling",NA,NA,NA,1
17,1,"alpha[1]",0.368342799503734,"alpha","Traveling->Traveling",NA,NA,NA,1
18,1,"alpha[1]",0.688191244425445,"alpha","Traveling->Traveling",NA,NA,NA,1
19,1,"alpha[1]",0.733684782896183,"alpha","Traveling->Traveling",NA,NA,NA,1
20,1,"alpha[1]",0.457523546541412,"alpha","Traveling->Traveling",NA,NA,NA,1
21,1,"alpha[1]",0.56766489081546,"alpha","Traveling->Traveling",NA,NA,NA,1
22,1,"alpha[1]",0.505168721571378,"alpha","Traveling->Traveling",NA,NA,NA,1
