13440 112727   3  7 P
      2012-12-13 05:01:39  1         00          109          223           51
                                     97          102          136
13440 112729   3  7 N
      2012-12-13 05:32:18  1         00          100          218           72
                                    116           90          140
13440 112729   3  7 K
      2012-12-13 07:01:18  1         01           99          211           66
                                    115           90          145
13440 112729   3  7 N
      2012-12-13 07:15:18  1         01          101          210           66
                                    113           90          145
