13440 096089   3  3 A
      2012-04-17 00:05:18  4         65          178           41
      2012-04-17 00:06:14  3         65          178           40
13440 096089   3  3 P
      2012-04-17 02:15:30  1         66          173           37
      2012-04-17 02:15:58  1         66          189           37
13440 096089   2  3 P 2 2012-04-17 03:59:34 -42.951  147.345  0.000 401677334
      2012-04-17 04:03:46 15         67          171           37
13440 096089   2  3 N 3 2012-04-17 04:07:30 -42.949  147.348  0.000 401677337
      2012-04-17 04:10:46 13         67          171           37
13440 096089   3  3 P 2 2012-04-17 05:39:54 -42.946  147.351  0.000 401677350
      2012-04-17 05:37:34  1         68          172           37
      2012-04-17 05:42:14  3         68          171           37
13440 096089   5  3 K 2 2012-04-17 05:50:52 -42.952  147.350  0.000 401677356
      2012-04-17 05:47:22  1         68          171           05
      2012-04-17 05:50:38  1         68          169           37
      2012-04-17 05:51:06  4         68          171           37
      2012-04-17 05:54:22  1         68          140           37
13440 096089   2  3 N 3 2012-04-17 05:48:18 -42.949  147.355  0.000 401677354
      2012-04-17 05:52:02 13         68          171           37
13440 096089   5  3 M 0 2012-04-17 19:11:36 -42.941  147.307  0.000 401677358
      2012-04-17 19:09:59  1         69          176           38
      2012-04-17 19:10:27  1         69          175           38
      2012-04-17 19:11:23  1         69          173           37
      2012-04-17 19:13:15  2         69          172           37
13440 096089   3  3 L 0 2012-04-17 19:31:40 -42.952  147.334  0.000 401677363
      2012-04-17 19:30:31  1         05          177           38
      2012-04-17 19:32:51  3         69          177           38
13440 096089   2  3 A
      2012-04-17 20:26:59  1         70          179           38
13440 096089   5  3 M 3 2012-04-17 20:50:18 -42.952  147.357  0.000 401677367
      2012-04-17 20:49:23  1         70          177           38
      2012-04-17 20:49:51  1         70          179           39
      2012-04-17 20:51:43  2         70          180           38
      2012-04-17 20:54:03  6         70          180           39
13440 096089   3  3 L 3 2012-04-17 21:10:22 -42.950  147.354  0.000 401677366
      2012-04-17 21:14:07  1         70          181           38
      2012-04-17 21:14:35  9         70          181           39
13440 096089   3  3 A 3 2012-04-17 22:04:30 -42.952  147.355  0.000 401677362
      2012-04-17 22:04:03  9         70          182           39
      2012-04-17 22:08:43  9         70          183           39
13440 096089   4  3 M 3 2012-04-17 22:31:20 -42.950  147.345  0.000 401677359
      2012-04-17 22:27:51  1         71          183           39
      2012-04-17 22:34:23 10         71          184           39
      2012-04-17 22:34:51  1         87          184           39
13440 096089   3  3 L 3 2012-04-17 22:50:56 -42.951  147.352  0.000 401677353
      2012-04-17 22:52:35  1         71          185           41
      2012-04-17 22:56:19 10         71          185           40
13440 096089   4  3 A 3 2012-04-17 23:43:13 -42.945  147.327  0.000 401677343
      2012-04-17 23:42:59  4         71          187           40
      2012-04-17 23:43:27  1         71          188           40
      2012-04-17 23:46:15  3         71          188           41
13440 096089   3  3 P B 2012-04-18 02:04:37 -42.967  147.264  0.000 401677359
      2012-04-18 02:04:23  1         72          191           33
      2012-04-18 02:04:51  1         72          191           41
13440 096089   4  3 P
      2012-04-18 03:47:31  1         73          195           36
      2012-04-18 03:53:07  1         89          193           41
      2012-04-18 03:54:03 18         73          193           41
13440 096089   2  3 N 2 2012-04-18 03:57:05 -42.944  147.356  0.000 401677337
      2012-04-18 04:00:35 10         73          193           41
13440 096089   3  3 K B 2012-04-18 05:26:13 -42.949  147.388  0.000 401677338
      2012-04-18 05:25:59  1         74          194           41
      2012-04-18 05:26:27  1         74          194           42
13440 096089   3  3 P 3 2012-04-18 05:30:39 -42.950  147.359  0.000 401677344
      2012-04-18 05:27:23  1         74          194           42
      2012-04-18 05:34:23 15         74          194           41
13440 096089   4  3 N 3 2012-04-18 05:36:57 -42.949  147.359  0.000 401677345
      2012-04-18 05:32:31  1        110          201           41
      2012-04-18 05:39:03  1         10          194           41
      2012-04-18 05:41:23 14         74          194           41
13440 096089   2  3 K 0 2012-04-18 07:05:51 -42.951  147.324  0.000 401677356
      2012-04-18 07:07:15  7         75          194           41
13440 096090   5  3 A
      2012-04-17 00:04:01  2         48          174           39
      2012-04-17 00:04:58  2         48          174           38
      2012-04-17 00:07:49  1         48          175           38
      2012-04-17 00:08:46  2         48          175           39
13440 096090   3  3 P
      2012-04-17 02:15:07  1         49          179           40
      2012-04-17 02:16:33  4         49          183           40
13440 096090   5  3 P 2 2012-04-17 03:59:37 -42.952  147.340  0.000 401677138
      2012-04-17 03:56:46  1         50          187           38
      2012-04-17 03:57:43  7         50          187           41
      2012-04-17 03:58:12  1         50          187           44
      2012-04-17 04:05:19  9         50          186           41
13440 096090   3  3 N 3 2012-04-17 04:08:24 -42.950  147.344  0.000 401677142
      2012-04-17 04:06:45  1         50          171           41
      2012-04-17 04:12:27 15         50          186           41
13440 096090   2  3 P 3 2012-04-17 05:41:16 -42.948  147.363  0.000 401677167
      2012-04-17 05:44:36 13         51          186           41
13440 096090   3  3 K
      2012-04-17 05:50:46  5         51          186           41
      2012-04-17 05:51:15  2         51          185           41
