"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",131115,13440,-64.113,-61.065,1,02/26/2016 13:20:59,Argos,,214,B,,401677161,02/26/2016 13:20:30,1,2,,-124,401677161,-61.065,-64.113,,,40,,,,,,,218,133,176,181,24,0,240,60,60,60,60,60,60,60,60,60,60,60,60,60,62,60,60,60,60,40,16,130,190,170,0,,
"",131115,13440,-64.113,-61.065,1,02/26/2016 13:20:59,Argos,,214,B,,401677161,02/26/2016 13:24:04,3,2,,-124,401677161,-61.065,-64.113,,,40,,,,,,,218,133,176,181,24,0,240,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,8,16,130,191,186,0,,
"",131115,13440,-64.107,-61.108,B,02/26/2016 13:54:46,Argos,,0,R,,401677159,02/26/2016 13:55:33,2,1,,-130,401677159,-61.108,-64.107,,,8,,,,,,,218,133,176,181,24,0,240,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,8,16,130,191,186,0,,
"",131115,13440,-64.105,-61.133,B,02/26/2016 15:00:46,Argos,,0,B,,401677162,02/26/2016 15:00:47,1,1,,-132,401677162,-61.133,-64.105,,,8,,,,,,,187,15,144,181,27,184,90,168,97,6,132,215,12,184,120,167,138,29,32,240,105,100,52,150,36,17,135,136,148,0,0,,
"",131115,13440,-64.106,-61.13,B,02/26/2016 15:33:01,Argos,,0,R,,401677161,02/26/2016 15:33:01,1,1,,-138,401677161,-61.13,-64.106,,,8,,,,,,,187,15,144,181,27,184,90,138,97,6,139,136,113,163,131,108,56,242,127,143,218,139,228,60,207,247,152,119,49,255,255,,
"",131115,13440,-64.116,-61.083,0,02/26/2016 16:28:10,Argos,,310,P,,401677171,02/26/2016 16:26:37,1,4,,-133,401677171,-61.083,-64.116,,,48,,,,,,,220,91,128,181,56,0,52,0,2,119,127,255,164,0,0,43,255,255,92,0,2,127,255,251,8,64,64,205,249,205,102,,
"",131115,13440,-64.116,-61.083,0,02/26/2016 16:28:10,Argos,,310,P,,401677171,02/26/2016 16:27:35,1,4,,-133,401677171,-61.083,-64.116,,,48,,,,,,,208,33,112,181,40,2,80,0,204,128,2,123,122,144,12,16,0,2,191,191,88,0,0,0,0,47,187,250,4,0,0,,
"",131115,13440,-64.116,-61.083,0,02/26/2016 16:28:10,Argos,,310,P,,401677171,02/26/2016 16:30:19,1,4,,-133,401677171,-61.083,-64.116,,,48,,,,,,,218,133,176,181,24,0,240,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,8,16,130,191,186,0,,
"",131115,13440,-64.116,-61.083,0,02/26/2016 16:28:10,Argos,,310,P,,401677171,02/26/2016 16:31:47,1,4,,-133,401677171,-61.083,-64.116,,,48,,,,,,,212,71,64,181,72,0,85,192,0,2,183,191,181,192,0,0,27,59,255,177,0,0,68,68,4,0,0,31,183,187,180,,
"",131115,13440,-64.096,-61.052,2,02/26/2016 17:07:11,Argos,,282,R,,401677168,02/26/2016 17:04:31,1,5,,-131,401677168,-61.052,-64.096,,,58,,,,,,,220,91,128,181,56,0,52,0,2,119,127,255,164,0,0,43,255,255,92,0,2,127,191,241,8,0,1,235,187,123,244,,
"",131115,13440,-64.096,-61.052,2,02/26/2016 17:07:11,Argos,,282,R,,401677168,02/26/2016 17:06:05,1,5,,-131,401677168,-61.052,-64.096,,,58,,,,,,,187,15,144,181,27,184,90,168,97,6,132,215,12,184,120,167,138,29,32,240,105,100,55,150,36,17,135,136,148,0,0,,
"",131115,13440,-64.096,-61.052,2,02/26/2016 17:07:11,Argos,,282,R,,401677168,02/26/2016 17:07:39,1,5,,-131,401677168,-61.052,-64.096,,,58,,,,,,,179,217,176,181,64,121,81,34,142,15,195,128,149,32,129,172,40,154,152,13,195,254,101,14,27,139,134,154,35,128,208,,
"",131115,13440,-64.096,-61.052,2,02/26/2016 17:07:11,Argos,,282,R,,401677168,02/26/2016 17:08:26,1,5,,-131,401677168,-61.052,-64.096,,,58,,,,,,,210,218,176,181,88,0,86,64,0,0,2,51,187,181,128,0,0,64,0,4,27,63,255,255,88,0,0,2,55,179,252,,
"",131115,13440,-64.096,-61.052,2,02/26/2016 17:07:11,Argos,,282,R,,401677168,02/26/2016 17:09:13,1,5,,-131,401677168,-61.052,-64.096,,,58,,,,,,,212,71,64,181,72,0,85,192,0,3,183,191,181,192,0,0,27,59,255,177,0,0,68,68,4,0,0,31,183,187,180,,
"",131115,13440,-64.098,-60.997,2,02/26/2016 18:10:25,Argos,,376,P,,401677171,02/26/2016 18:08:52,1,8,,-131,401677171,-60.997,-64.098,,,58,,,,,,,220,91,128,181,56,0,52,0,2,119,127,255,164,0,0,43,255,255,92,0,2,127,255,251,8,0,1,251,187,123,244,,
"",131115,13440,-64.098,-60.997,2,02/26/2016 18:10:25,Argos,,376,P,,401677171,02/26/2016 18:09:38,1,8,,-131,401677171,-60.997,-64.098,,,58,,,,,,,208,33,112,181,40,2,80,0,204,128,2,123,122,144,12,16,0,2,191,191,88,0,0,0,0,47,187,250,4,0,0,,
"",131115,13440,-64.098,-60.997,2,02/26/2016 18:10:25,Argos,,376,P,,401677171,02/26/2016 18:10:25,1,8,,-131,401677171,-60.997,-64.098,,,58,,,,,,,187,15,144,181,27,184,90,168,97,6,132,215,12,184,120,167,138,29,32,240,105,100,53,150,36,17,135,136,148,0,0,,
"",131115,13440,-64.098,-60.997,2,02/26/2016 18:10:25,Argos,,376,P,,401677171,02/26/2016 18:11:12,1,8,,-131,401677171,-60.997,-64.098,,,58,,,,,,,218,133,176,181,24,0,240,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,8,16,130,191,186,0,,
"",131115,13440,-64.098,-60.997,2,02/26/2016 18:10:25,Argos,,376,P,,401677171,02/26/2016 18:11:59,1,8,,-131,401677171,-60.997,-64.098,,,58,,,,,,,212,104,32,181,104,0,55,92,0,0,1,251,247,119,113,0,0,2,251,187,122,192,0,0,31,123,187,12,0,0,24,,
