DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"131158",131158,SPOT,DS,8,0,0,99,47,07:56:58 13-Jan-2016,K,1,-64.9320,-64.2580,,,48,,401677527,-124,
"131158",131158,SPOT,DS,2,0,0,191,191,08:35:33 13-Jan-2016,R,B,-64.9330,-64.2390,,,6,,401677536,-131,
"131158",131158,SPOT,DS,8,0,0,71,47,09:13:58 13-Jan-2016,A,1,-64.9300,-64.2140,,,58,,401677529,-123,
"131158",131158,SPOT,DS,7,1,0,,,09:17:40 13-Jan-2016,N,1,-64.9290,-64.1830,,,40,,401677531,-125,
"131158",131158,SPOT,DS,2,0,0,414,414,09:36:24 13-Jan-2016,K,B,-64.9300,-64.1810,,,,,401677533,-133,
"131158",131158,SPOT,DS,1,0,0,,,10:20:18 13-Jan-2016,R,B,-64.9280,-64.1830,,,7,,401677543,-134,
"131158",131158,SPOT,DS,3,0,0,250,181,10:55:55 13-Jan-2016,A,A,-64.9230,-64.3020,,,8,,401677535,-124,
"131158",131158,SPOT,DS,4,0,0,168,53,11:00:15 13-Jan-2016,N,3,-64.9250,-64.3090,,,50,,401677534,-130,
"131158",131158,SPOT,DS,2,0,0,49,49,11:20:17 13-Jan-2016,K,B,-64.9280,-64.3130,,,,,401677531,-137,
"131158",131158,SPOT,DS,1,0,0,,,11:51:11 13-Jan-2016,B,B,-64.9230,-64.3370,,,8,,401677521,-130,
"131158",131158,SPOT,DS,3,0,0,272,206,11:56:06 13-Jan-2016,R,A,-64.9300,-64.2520,,,,,401677533,-117,
"131158",131158,SPOT,DS,2,0,0,246,246,12:35:54 13-Jan-2016,A,B,-64.9320,-64.2880,,,8,,401677533,-116,
"131158",131158,SPOT,DS,1,0,0,,,12:46:06 13-Jan-2016,N,B,-64.9340,-64.2750,,,,,401677537,-140,
"131158",131158,SPOT,DS,1,0,0,,,14:15:34 13-Jan-2016,A,B,-64.9250,-64.3400,,,8,,401677523,-135,
"131158",131158,SPOT,DS,2,0,0,312,312,15:15:23 13-Jan-2016,R,B,-64.9020,-64.2000,,,8,,401677527,-127,
"131158",131158,SPOT,DS,1,0,0,,,16:04:14 13-Jan-2016,A,B,-64.9240,-64.1530,,,8,,401677528,-135,
"131158",131158,SPOT,DS,2,0,0,255,255,16:52:27 13-Jan-2016,R,B,-64.9160,-64.1450,,,8,,401677523,-132,
"131158",131158,SPOT,DS,3,0,0,144,69,18:06:32 13-Jan-2016,P,A,-64.9090,-64.1390,,,8,,401677532,-127,
"131158",131158,SPOT,DS,1,0,0,,,18:31:09 13-Jan-2016,R,B,-64.9070,-64.1320,,,,,401677521,-129,
"131158",131158,SPOT,DS,1,0,0,,,19:47:26 13-Jan-2016,P,B,-64.8930,-64.1270,,,8,,401677528,-125,
"131158",131158,SPOT,DS,1,0,0,,,19:47:26 13-Jan-2016,N,B,-64.8940,-64.1340,,,,,401677528,-132,
