DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
"154187",154187,Mk10,19:31:47 21-Mar-2016,,,,,,CRC 17175.33742,15:00:00 25-Mar-2016,TimeSeries,212,49,112,242,240,4,184,59,195,131,131,131,199,199,135,131,199,135,195,135,199,135,199,131,135,192,57,252,125,24,3,
"154187",154187,Mk10,20:00:44 21-Mar-2016,,,,,,CRC 60681.37718,23:47:00 21-Jan-2016,Behavior,190,208,144,107,123,248,1,0,93,48,74,55,102,216,48,18,234,73,153,67,204,110,162,180,89,196,191,90,145,164,46,
"154187",154187,Mk10,20:04:25 21-Mar-2016,,,B,-64.1120,-60.9840,CRC 16663.17175,23:00:00 21-Mar-2016,TimeSeries,212,17,112,235,120,0,168,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,62,195,1,66,119,124,
"154187",154187,Mk10,00:38:01 22-Mar-2016,,,A,-64.1040,-60.9060,CRC 37859.17955,12:07:00 30-Mar-2016,Behavior,185,62,48,252,193,215,204,160,133,249,163,243,146,160,119,225,217,7,152,111,77,50,250,190,174,188,154,197,156,35,171,
"154187",154187,Mk10,06:25:10 22-Mar-2016,,,B,-64.0890,-61.0040,CRC 39779.6989,01:53:00 30-Mar-2016,Behavior,185,182,48,252,29,64,63,30,67,38,73,168,102,104,58,177,97,244,164,100,76,16,38,3,170,162,19,73,246,64,0,
"154187",154187,Mk10,06:27:40 22-Mar-2016,,,A,-64.1060,-60.9790,CRC 60685.39754,23:47:00 21-Mar-2016,Behavior,190,208,208,235,123,248,1,16,93,48,64,115,130,225,2,52,38,102,40,33,73,33,224,1,7,46,150,144,201,64,22,
"154187",154187,Mk10,08:02:06 22-Mar-2016,,,0,-64.0870,-60.9750,CRC 19723.3090,13:01:50 22-Mar-2016,Status,0,0,236,208,114,77,11,,,,,,,,,,,,,,,,,,,,,,,,,
"154187",154187,Mk10,08:05:31 22-Mar-2016,,,0,-64.0870,-60.9750,CRC 23736.63989,09:44:00 22-Mar-2016,Behavior,181,203,128,236,155,1,77,47,3,38,8,120,136,17,47,176,22,15,243,78,200,143,248,155,250,155,168,17,48,2,16,
"154187",154187,Mk10,11:19:39 22-Mar-2016,,,B,-64.1370,-60.8840,CRC 50902.1666,15:12:00 22-Mar-2016,Behavior,188,109,96,236,243,0,234,8,140,22,195,217,20,46,172,69,195,162,125,66,62,9,4,203,135,146,196,28,148,0,0,
"154187",154187,Mk10,13:02:44 22-Mar-2016,,,2,-64.1260,-60.9260,CRC 17215.55492,14:20:00 22-Mar-2016,Behavior,180,51,240,236,229,0,236,2,129,98,70,17,170,8,76,55,140,151,50,224,112,10,4,64,1,253,132,0,249,224,213,
