Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
13440,166125,23,MA,A,3,04-May-2017,14:50:58,-53.3677,-124.6177,,401677349,-133,,0,04-May-2017,14:46:11,-64.6844,-62.1988,450,,,,,,,4,5,72,235,128,205,247,48,104,240,70,235,187,122,160,45,78,143,234,193,55,209,217,,,,,,,,,
13440,166125,23,MA,A,3,04-May-2017,14:50:58,-53.3677,-124.6177,,401677349,-133,,0,04-May-2017,14:53:04,-64.6844,-62.1988,450,,,,,,,4,171,6,237,53,1,172,49,183,245,32,5,0,80,140,141,220,0,3,56,179,103,0,,,,,,,,,
13440,166125,23,MA,A,3,04-May-2017,14:50:58,-53.3677,-124.6177,,401677349,-133,,0,04-May-2017,14:53:41,-64.6844,-62.1988,450,,,,,,,4,5,72,229,94,172,63,49,248,5,57,163,115,29,26,93,129,166,191,32,250,254,248,,,,,,,,,
13440,166125,23,SR,A,4,04-May-2017,16:36:48,-64.7150,-62.2034,,401677156,-136,8,0,04-May-2017,16:35:41,-64.7150,-62.2034,140,,,,,,,4,5,73,8,222,114,199,49,183,245,16,5,0,80,140,141,180,0,2,124,64,0,0,,,,,,,,,
13440,166125,23,SR,A,4,04-May-2017,16:36:48,-64.7150,-62.2034,,401677156,-136,8,0,04-May-2017,16:36:44,-64.7150,-62.2034,140,,,,,,,4,5,73,9,33,90,84,49,183,229,16,5,0,80,140,141,172,0,2,115,128,0,0,,,,,,,,,
13440,166125,23,SR,A,4,04-May-2017,16:36:48,-64.7150,-62.2034,,401677156,-136,8,0,04-May-2017,16:38:01,-64.7150,-62.2034,140,,,,,,,4,5,73,9,114,95,235,48,119,245,144,5,0,80,140,141,172,0,2,102,128,4,0,,,,,,,,,
13440,166125,11,SR,B,5,04-May-2017,18:17:23,-64.7148,-62.1564,,401677123,-136,8,0,04-May-2017,18:17:24,-64.7148,-62.1564,,5594,10270,3047,83,,,21,236,5,72,224,56,88,97,39,7,1,,,,,,,,,,,,,,,,,,,,,
13440,166125,15,NP,2,6,04-May-2017,19:46:50,-64.6833,-62.0564,,401677282,-131,55,0,04-May-2017,19:46:01,-64.6833,-62.0564,163,250,599,104,97,,,71,140,245,72,232,159,12,0,40,1,33,128,128,0,0,,,,,,,,,,,,,,,,,
13440,166125,11,NP,2,6,04-May-2017,19:46:50,-64.6833,-62.0564,,401677282,-131,55,0,04-May-2017,19:46:31,-64.6833,-62.0564,163,250,599,104,97,,,60,58,245,72,230,128,66,68,40,32,32,,,,,,,,,,,,,,,,,,,,,
13440,166125,11,NP,2,6,04-May-2017,19:46:50,-64.6833,-62.0564,,401677282,-131,55,0,04-May-2017,19:47:25,-64.6833,-62.0564,163,250,599,104,97,,,38,38,229,72,227,0,126,13,128,0,0,,,,,,,,,,,,,,,,,,,,,
13440,166125,11,NP,2,6,04-May-2017,19:46:50,-64.6833,-62.0564,,401677282,-131,55,1,04-May-2017,19:48:44,-64.6833,-62.0564,163,250,599,104,97,,,21,236,5,72,224,56,88,97,39,7,1,,,,,,,,,,,,,,,,,,,,,
13440,166125,15,NP,B,7,04-May-2017,21:26:21,-64.6763,-62.0192,,401677286,-137,8,0,04-May-2017,21:26:21,-64.6763,-62.0192,,2213,5085,963,84,,,71,140,245,72,232,159,12,0,40,1,33,128,128,0,0,,,,,,,,,,,,,,,,,
13440,166125,11,SR,0,8,04-May-2017,21:37:48,-64.7114,-62.0833,,401677294,-135,56,0,04-May-2017,21:36:18,-64.7114,-62.0833,173,2150,48304,95,88,,,60,58,245,72,230,128,66,68,40,32,32,,,,,,,,,,,,,,,,,,,,,
13440,166125,11,SR,0,8,04-May-2017,21:37:48,-64.7114,-62.0833,,401677294,-135,56,0,04-May-2017,21:37:34,-64.7114,-62.0833,173,2150,48304,95,88,,,21,236,5,72,224,56,88,97,39,7,1,,,,,,,,,,,,,,,,,,,,,
13440,166125,15,SR,0,8,04-May-2017,21:37:48,-64.7114,-62.0833,,401677294,-135,56,0,04-May-2017,21:38:10,-64.7114,-62.0833,173,2150,48304,95,88,,,71,140,245,72,232,159,12,0,40,1,33,128,128,0,0,,,,,,,,,,,,,,,,,
13440,166125,11,SR,0,8,04-May-2017,21:37:48,-64.7114,-62.0833,,401677294,-135,56,0,04-May-2017,21:39:11,-64.7114,-62.0833,173,2150,48304,95,88,,,38,38,231,72,227,0,118,25,128,0,0,,,,,,,,,,,,,,,,,,,,,
13440,166125,11,NK,B,9,04-May-2017,21:39:11,-64.7110,-62.0759,,401677311,-129,6,0,04-May-2017,21:39:11,-64.7110,-62.0759,,1539,20526,115,88,,,38,38,229,72,227,0,126,13,128,0,0,,,,,,,,,,,,,,,,,,,,,
