"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",166126,13440,,,,,,,0,SR,,401650000,05/04/2017 16:37:59,1,1,0,-139,401650000,,,,,,,,,,,,4,5,73,9,115,58,144,49,199,180,224,5,0,80,140,141,96,0,2,116,8,128,82,,,,,,,,,
"",166126,13440,,,,,,,0,NP,,401650000,05/04/2017 18:04:08,1,1,0,-140,401650000,,,,,,,,,,,,29,15,149,72,250,1,11,205,155,27,13,138,2,3,128,128,0,0,0,,,,,,,,,,,,,
"",166126,13440,,,,,,,83,SR,,401650000,05/04/2017 18:14:38,1,2,0,-133,401650000,,,,,,,,,,,,29,15,149,72,250,1,11,221,155,27,13,138,2,3,128,128,0,0,0,,,,,,,,,,,,,
"",166126,13440,,,,,,,83,SR,,401650000,05/04/2017 18:16:02,1,2,0,-133,401650000,,,,,,,,,,,,77,181,165,72,246,147,10,20,16,112,128,,,,,,,,,,,,,,,,,,,,,
"",166126,13440,-64.70126,-62.27906,1,05/04/2017 19:44:26,Argos,0,295,NP,,401677490.5,05/04/2017 19:41:48,1,8,0,-122,401677490.5,-62.27906,-64.70126,-39.54955,-60.42068,50,3,699,8839,55,83,501,38,239,117,72,243,0,118,136,128,0,0,,,,,,,,,,,,,,,,,,,,,
"",166126,13440,-64.70126,-62.27906,1,05/04/2017 19:44:26,Argos,0,295,NP,,401677490.5,05/04/2017 19:42:58,1,8,0,-122,401677490.5,-62.27906,-64.70126,-39.54955,-60.42068,50,3,699,8839,55,83,501,77,181,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",166126,13440,-64.70126,-62.27906,1,05/04/2017 19:44:26,Argos,0,295,NP,,401677490.5,05/04/2017 19:44:44,1,8,0,-122,401677490.5,-62.27906,-64.70126,-39.54955,-60.42068,50,3,699,8839,55,83,501,29,15,149,72,250,1,11,221,155,27,13,138,2,3,128,128,0,0,0,,,,,,,,,,,,,
"",166126,13440,-64.70126,-62.27906,1,05/04/2017 19:44:26,Argos,0,295,NP,,401677490.5,05/04/2017 19:45:18,1,8,0,-122,401677490.5,-62.27906,-64.70126,-39.54955,-60.42068,50,3,699,8839,55,83,501,77,181,165,72,246,147,10,20,16,112,128,,,,,,,,,,,,,,,,,,,,,
"",166126,13440,-64.70126,-62.27906,1,05/04/2017 19:44:26,Argos,0,295,NP,,401677490.5,05/04/2017 19:46:12,2,8,0,-122,401677490.5,-62.27906,-64.70126,-39.54955,-60.42068,50,3,699,8839,55,83,501,48,233,165,72,248,147,14,32,24,64,0,0,128,0,0,,,,,,,,,,,,,,,,,
"",166126,13440,-64.70126,-62.27906,1,05/04/2017 19:44:26,Argos,0,295,NP,,401677490.5,05/04/2017 19:46:43,2,8,0,-122,401677490.5,-62.27906,-64.70126,-39.54955,-60.42068,50,3,699,8839,55,83,501,38,235,117,72,243,0,118,136,128,0,0,,,,,,,,,,,,,,,,,,,,,
"",166126,13440,-64.69611,-62.25761,B,05/04/2017 19:58:14,Argos,0,45,SR,,401677487.6,05/04/2017 19:57:52,1,2,0,-136,401677487.6,-62.25761,-64.69611,-62.25761,-64.69611,6,3,1537,3497,675,100,1264,29,15,149,72,250,1,15,221,155,27,13,138,2,3,128,128,0,0,0,,,,,,,,,,,,,
"",166126,13440,-64.69611,-62.25761,B,05/04/2017 19:58:14,Argos,0,45,SR,,401677487.6,05/04/2017 19:58:38,1,2,0,-136,401677487.6,-62.25761,-64.69611,-62.25761,-64.69611,6,3,1537,3497,675,100,1264,77,181,165,72,246,147,10,20,16,112,128,,,,,,,,,,,,,,,,,,,,,
"",166126,13440,-64.6737,-62.2765,0,05/04/2017 21:26:03,Argos,0,452,NP,,401677487.68,05/04/2017 21:24:08,1,6,0,-124,401677487.68,-62.2765,-64.6737,-62.2765,-64.6737,48,3,1640,9889,271,98,527,38,235,117,72,243,0,118,136,128,0,0,,,,,,,,,,,,,,,,,,,,,
"",166126,13440,-64.6737,-62.2765,0,05/04/2017 21:26:03,Argos,0,452,NP,,401677487.68,05/04/2017 21:24:50,1,6,0,-124,401677487.68,-62.2765,-64.6737,-62.2765,-64.6737,48,3,1640,9889,271,98,527,29,15,149,72,250,1,11,221,155,27,13,138,2,3,128,128,0,0,0,,,,,,,,,,,,,
"",166126,13440,-64.6737,-62.2765,0,05/04/2017 21:26:03,Argos,0,452,NP,,401677487.68,05/04/2017 21:30:01,2,6,0,-124,401677487.68,-62.2765,-64.6737,-62.2765,-64.6737,48,3,1640,9889,271,98,527,77,181,165,72,246,147,10,20,16,112,128,,,,,,,,,,,,,,,,,,,,,
"",166126,13440,-64.67442,-62.27834,B,05/04/2017 21:30:19,Argos,0,37,SR,,401677487.21,05/04/2017 21:30:01,1,2,0,-127,401677487.21,-62.27834,-64.67442,-62.27834,-64.67442,6,3,2286,6509,802,94,946,77,181,165,72,246,147,10,20,16,112,128,,,,,,,,,,,,,,,,,,,,,
"",166126,13440,-64.6628,-62.28583,B,05/04/2017 21:30:19,Argos,0,37,NN,,401677488.76,05/04/2017 21:30:01,1,2,0,-132,401677488.76,-62.28583,-64.6628,-62.28583,-64.6628,6,3,3613,10520,1240,92,945,77,181,165,72,246,147,10,20,16,112,128,,,,,,,,,,,,,,,,,,,,,
"",166126,13440,-64.6737,-62.2765,0,05/04/2017 21:26:03,Argos,0,452,NP,,401677487.68,05/04/2017 21:30:38,2,6,0,-124,401677487.68,-62.2765,-64.6737,-62.2765,-64.6737,48,3,1640,9889,271,98,527,48,233,165,72,248,147,14,32,24,64,0,0,128,0,0,,,,,,,,,,,,,,,,,
"",166126,13440,-64.67442,-62.27834,B,05/04/2017 21:30:19,Argos,0,37,SR,,401677487.21,05/04/2017 21:30:38,1,2,0,-127,401677487.21,-62.27834,-64.67442,-62.27834,-64.67442,6,3,2286,6509,802,94,946,48,233,165,72,248,147,14,32,24,64,0,0,128,0,0,,,,,,,,,,,,,,,,,
"",166126,13440,-64.6628,-62.28583,B,05/04/2017 21:30:19,Argos,0,37,NN,,401677488.76,05/04/2017 21:30:38,1,2,0,-132,401677488.76,-62.28583,-64.6628,-62.28583,-64.6628,6,3,3613,10520,1240,92,945,50,233,165,72,248,147,14,32,24,64,0,0,128,0,32,,,,,,,,,,,,,,,,,
"",166126,13440,-64.66386,-62.24951,A,05/04/2017 21:42:14,Argos,0,198,NK,,401677483.29,05/04/2017 21:40:18,1,3,0,-131,401677483.29,-62.24951,-64.66386,-62.24951,-64.66386,6,3,612,830,451,164,795,38,235,117,72,243,0,118,136,128,0,0,,,,,,,,,,,,,,,,,,,,,
"",166126,13440,-64.66386,-62.24951,A,05/04/2017 21:42:14,Argos,0,198,NK,,401677483.29,05/04/2017 21:42:48,1,3,0,-131,401677483.29,-62.24951,-64.66386,-62.24951,-64.66386,6,3,612,830,451,164,795,29,15,149,72,250,1,11,221,155,27,13,138,2,3,128,128,0,0,4,,,,,,,,,,,,,
"",166126,13440,-64.66386,-62.24951,A,05/04/2017 21:42:14,Argos,0,198,NK,,401677483.29,05/04/2017 21:43:36,1,3,0,-131,401677483.29,-62.24951,-64.66386,-62.24951,-64.66386,6,3,612,830,451,164,795,77,181,165,72,246,147,10,20,16,112,128,,,,,,,,,,,,,,,,,,,,,
"",166126,13440,-64.67316,-62.20371,A,05/04/2017 23:11:37,Argos,0,93,NP,,401677490.31,05/04/2017 23:10:45,1,3,0,-133,401677490.31,-62.20371,-64.67316,-62.20371,-64.67316,8,3,2652,14501,484,68,2690,38,235,117,72,243,0,118,136,128,0,0,,,,,,,,,,,,,,,,,,,,,
"",166126,13440,-64.69124,-62.24679,1,05/04/2017 23:12:21,Argos,0,201,NN,,401677495.52,05/04/2017 23:11:18,1,7,0,-128,401677495.52,-62.24679,-64.69124,-62.24679,-64.69124,58,3,868,15358,49,87,1070,29,15,150,72,250,1,11,221,155,27,13,138,2,3,128,128,0,0,0,,,,,,,,,,,,,
