DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
166126,166126,Mk10,19:44:26 04-May-2017,Argos,1,-64.7013,-62.2791,699,8839,55,83,,,,,,
166126,166126,Mk10,19:58:14 04-May-2017,Argos,B,-64.6961,-62.2576,1537,3497,675,100,,,,,,
166126,166126,Mk10,21:26:03 04-May-2017,Argos,0,-64.6737,-62.2765,1640,9889,271,98,,,,,,
166126,166126,Mk10,21:30:19 04-May-2017,Argos,B,-64.6744,-62.2783,2286,6509,802,94,,,,,,
166126,166126,Mk10,21:30:19 04-May-2017,Argos,B,-64.6628,-62.2858,3613,10520,1240,92,,,,,,
166126,166126,Mk10,21:42:14 04-May-2017,Argos,A,-64.6639,-62.2495,612,830,451,164,,,,,,
166126,166126,Mk10,23:11:37 04-May-2017,Argos,A,-64.6732,-62.2037,2652,14501,484,68,,,,,,
166126,166126,Mk10,23:11:54 04-May-2017,Argos,0,-64.6966,-62.2560,3842,25575,577,79,,,,,,
166126,166126,Mk10,23:12:21 04-May-2017,Argos,1,-64.6912,-62.2468,868,15358,49,87,,,,,,
166126,166126,Mk10,23:22:59 04-May-2017,Argos,0,-64.6915,-62.3075,2695,44546,163,85,,,,,,
166126,166126,Mk10,23:32:29 04-May-2017,Argos,B,-64.6920,-62.2476,1467,4549,473,88,,,,,,
166126,166126,Mk10,00:47:07 05-May-2017,Argos,1,-64.7044,-62.2409,563,2397,132,107,,,,,,
166126,166126,Mk10,00:55:04 05-May-2017,Argos,0,-64.6979,-62.2565,2123,3047,1478,69,,,,,,
166126,166126,Mk10,01:02:58 05-May-2017,Argos,2,-64.6914,-62.2541,426,888,204,55,,,,,,
166126,166126,Mk10,01:11:00 05-May-2017,Argos,2,-64.6884,-62.2427,404,1294,126,103,,,,,,
166126,166126,Mk10,02:06:00 05-May-2017,Argos,1,-64.6534,-62.2494,806,3556,182,78,,,,,,
166126,166126,Mk10,02:26:23 05-May-2017,Argos,A,-64.6366,-62.2560,2860,11390,718,91,,,,,,
166126,166126,Mk10,02:33:59 05-May-2017,Argos,0,-64.6447,-62.2933,2497,31628,197,85,,,,,,
166126,166126,Mk10,02:40:05 05-May-2017,Argos,A,-64.6445,-62.2679,1183,4718,296,103,,,,,,
166126,166126,Mk10,02:52:39 05-May-2017,Argos,0,-64.6403,-62.3064,2238,45869,109,80,,,,,,
166126,166126,Mk10,03:45:00 05-May-2017,Argos,B,-64.6327,-62.3099,4164,10807,1604,85,,,,,,
166126,166126,Mk10,04:03:52 05-May-2017,Argos,1,-64.6143,-62.2788,593,779,451,111,,,,,,
166126,166126,Mk10,04:14:58 05-May-2017,Argos,0,-64.6302,-62.2614,1755,6279,490,104,,,,,,
166126,166126,Mk10,04:16:50 05-May-2017,Argos,B,-64.6088,-62.2905,2342,5131,1068,87,,,,,,
166126,166126,Mk10,04:32:10 05-May-2017,Argos,A,-64.6096,-62.2898,1196,9124,156,88,,,,,,
166126,166126,Mk10,05:45:49 05-May-2017,Argos,1,-64.6218,-62.3020,781,8959,68,105,,,,,,
166126,166126,Mk10,05:53:54 05-May-2017,Argos,1,-64.6340,-62.3033,894,3555,224,82,,,,,,
166126,166126,Mk10,05:58:12 05-May-2017,Argos,1,-64.6321,-62.2627,779,3029,200,97,,,,,,
166126,166126,Mk10,06:12:19 05-May-2017,Argos,A,-64.6256,-62.3031,1807,17112,190,93,,,,,,
166126,166126,Mk10,07:25:59 05-May-2017,Argos,2,-64.6178,-62.2756,252,814,77,89,,,,,,
166126,166126,Mk10,07:33:18 05-May-2017,Argos,3,-64.6142,-62.2708,216,431,108,93,,,,,,
166126,166126,Mk10,07:36:26 05-May-2017,Argos,3,-64.6130,-62.2658,186,508,67,99,,,,,,
166126,166126,Mk10,07:50:21 05-May-2017,Argos,B,-64.6080,-62.2753,1652,11162,244,89,,,,,,
166126,166126,Mk10,08:41:35 05-May-2017,Argos,B,-64.6049,-62.2749,3388,9292,1234,90,,,,,,
166126,166126,Mk10,09:10:42 05-May-2017,Argos,0,-64.6255,-62.2642,1630,23914,111,100,,,,,,
166126,166126,Mk10,09:10:42 05-May-2017,Argos,B,-64.6046,-62.2747,1244,2879,537,88,,,,,,
166126,166126,Mk10,09:14:46 05-May-2017,Argos,1,-64.6235,-62.2856,1234,9933,153,105,,,,,,
166126,166126,Mk10,09:27:10 05-May-2017,Argos,2,-64.6254,-62.3034,291,921,91,71,,,,,,
166126,166126,Mk10,09:31:44 05-May-2017,Argos,A,-64.6272,-62.2885,1206,1914,759,45,,,,,,
166126,166126,Mk10,10:53:50 05-May-2017,Argos,2,-64.6124,-62.2831,279,890,87,106,,,,,,
