DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
166128,166128,Mk10,DS,1,0,1,,,20:49:58 10-Feb-2017,SR,,,,,,,,401650000,-123
166128,166128,Mk10,DS,2,0,2,29,29,17:07:23 03-May-2017,SR,,,,,,,,401650000,-137
166128,166128,Mk10,DS,3,0,0,84,60,18:46:47 03-May-2017,SR,A,-64.7143,-62.2091,-64.7143,-62.2091,8,,401677507,-131
166128,166128,Mk10,DS,4,0,0,36,31,19:56:41 03-May-2017,NP,1,-64.7199,-62.1943,-64.7199,-62.1943,58,,401677386,-129
166128,166128,Mk10,DS,6,2,0,,,20:26:07 03-May-2017,SR,2,-64.7090,-62.1567,-64.7090,-62.1567,56,,401677464,-118
166128,166128,Mk10,DS,3,0,0,33,30,21:43:01 03-May-2017,NP,A,-64.6663,-62.1749,-64.6663,-62.1749,8,,401677466,-126
166128,166128,Mk10,DS,3,0,0,90,30,21:44:13 03-May-2017,NN,A,-64.6677,-62.1295,-64.6677,-62.1295,6,,401677445,-135
166128,166128,Mk10,DS,1,0,0,,,23:29:23 03-May-2017,NN,B,-64.6462,-62.1419,-64.6462,-62.1419,7,,401677467,-129
166128,166128,Mk10,DS,5,0,4,103,30,02:26:28 04-May-2017,MB,1,-64.6995,-62.2072,-64.6995,-62.2072,48,,401677445,-129
166128,166128,Mk10,DS,6,0,1,53,29,02:46:38 04-May-2017,NN,2,-64.7315,-62.2551,-64.7315,-62.2551,58,,401677450,-132
166128,166128,Mk10,DS,2,0,0,175,175,03:03:15 04-May-2017,NK,B,-64.7387,-62.2293,-64.7387,-62.2293,6,,401677451,-133
166128,166128,Mk10,DS,9,1,0,,,03:14:24 04-May-2017,MA,1,-64.7030,-62.2949,-64.7030,-62.2949,6,,401677467,-117
166128,166128,Mk10,DS,1,0,0,,,04:07:33 04-May-2017,MB,B,-64.7053,-62.2879,-64.7053,-62.2879,8,,401677420,-126
166128,166128,Mk10,DS,3,0,1,64,52,04:13:24 04-May-2017,NP,A,-64.7072,-62.2681,-64.7072,-62.2681,6,,401677441,-134
166128,166128,Mk10,DS,6,0,2,57,29,04:26:24 04-May-2017,NN,1,-64.7419,-62.1681,-64.7419,-62.1681,56,,401677448,-133
166128,166128,Mk10,DS,5,0,0,59,30,04:42:40 04-May-2017,NK,1,-64.7280,-62.2348,-64.7280,-62.2348,56,,401677433,-129
166128,166128,Mk10,DS,3,0,0,150,53,04:53:47 04-May-2017,MA,A,-64.7160,-62.2123,-64.7160,-62.2123,6,,401677436,-118
166128,166128,Mk10,DS,1,0,1,,,05:45:24 04-May-2017,MB,B,-64.7158,-62.2008,-64.7158,-62.2008,8,,401677417,-134
166128,166128,Mk10,DS,10,2,0,,,05:57:20 04-May-2017,NP,1,-64.6867,-62.1008,-64.6867,-62.1008,58,,401677428,-123
166128,166128,Mk10,DS,4,0,0,78,39,06:05:33 04-May-2017,NN,1,-64.6738,-62.1250,-64.6738,-62.1250,56,,401677433,-131
166128,166128,Mk10,DS,4,0,1,106,73,06:20:34 04-May-2017,NK,3,-64.6766,-62.1319,-64.6766,-62.1319,66,,401677427,-132
166128,166128,Mk10,DS,3,0,0,86,56,06:32:11 04-May-2017,MA,A,-64.6770,-62.1462,-64.6770,-62.1462,6,,401677424,-124
166128,166128,Mk10,DS,4,0,1,77,36,07:37:33 04-May-2017,NP,1,-64.6750,-62.1687,-64.6750,-62.1687,58,,401677423,-127
