DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
166128,166128,,Mk10,,,06:21:55 04-May-2017,,3,-64.6766,-62.1319,CRC,0,0,,1120,3.376,1.000,0.100,-0.70,2.0,344.0,0,,,,,,,,,,,137,30,255,126,272,,,,,,,,,
166128,166128,,Mk10,,08:23:02 04-May-2017,08:22:55 04-May-2017,-6,B,-64.6707,-62.1744,CRC,0,0,,,,1.008,0.104,,1.0,344.0,0,,,,,,,,,,,166,30,255,126,272,,,,,,,,,
166128,166128,,Mk10,,,11:07:31 04-May-2017,,1,-64.6703,-62.2081,CRC,0,0,,1312,3.376,1.000,0.104,-1.20,0.5,344.0,0,,,,,,,,,,,255,30,255,126,272,,,,,,,,,
166128,166128,,Mk10,,01:01:48 05-May-2017,01:01:41 05-May-2017,-6,2,-64.6039,-62.2739,CRC,0,0,,,,1.000,0.132,,0.0,368.0,0,,,,,,,,,,,255,63,255,116,272,,,,,,,,,
166128,166128,,Mk10,,,07:25:14 05-May-2017,,0,-64.6291,-62.4006,CRC,0,0,,1632,3.376,1.000,0.116,-1.00,1.0,368.0,0,,,,,,,,,,,203,63,255,116,272,,,,,,,,,
166128,166128,,Mk10,,,09:14:46 05-May-2017,,1,-64.6197,-62.4507,CRC,0,0,,1696,3.376,1.000,0.120,-1.00,1.5,368.0,0,,,,,,,,,,,255,63,255,116,272,,,,,,,,,
166128,166128,,Mk10,,,10:58:22 05-May-2017,,B,-64.6587,-62.3052,CRC,0,0,,1760,3.376,1.000,0.100,-1.00,1.0,368.0,0,,,,,,,,,,,255,63,255,116,272,,,,,,,,,
166128,166128,,Mk10,,,00:35:37 06-May-2017,,1,-64.5951,-62.5091,CRC,0,0,,1888,3.440,1.000,0.104,-0.50,0.5,246.0,0,,,,,,,,,,,156,57,255,106,272,,,,,,,,,
166128,166128,,Mk10,,02:33:20 06-May-2017,02:33:13 06-May-2017,-6,1,-64.6234,-62.5521,CRC,0,0,,,,1.000,0.104,,1.0,246.0,0,,,,,,,,,,,229,57,255,106,272,,,,,,,,,
166128,166128,,Mk10,,08:51:17 06-May-2017,08:51:10 06-May-2017,-6,0,-64.7332,-62.5206,CRC,0,0,,,,1.000,0.100,,1.0,246.0,0,,,,,,,,,,,168,57,255,106,272,,,,,,,,,
166128,166128,,Mk10,,,06:29:12 09-May-2017,,A,-64.7913,-63.3480,CRC,0,0,,3680,3.376,1.000,0.104,-0.40,0.5,324.0,0,,,,,,,,,,,255,56,255,106,272,,,,,,,,,
