"","Animal","n","Start","End"
"1",131111,454,2016-03-23 01:01:25,2016-03-27 16:25:20
"2",131115,1005,2016-02-26 13:20:59,2016-03-01 13:54:26
"3",131116,1892,2016-02-26 21:28:57,2016-03-06 14:18:17
"4",131127,8224,2016-04-26 14:05:32,2016-07-13 14:01:06
"5",131128,99,2016-04-26 13:25:35,2016-04-27 06:36:38
"6",131130,483,2016-04-25 17:53:39,2016-04-29 17:30:06
"7",131132,1545,2016-04-25 20:23:59,2016-05-10 14:11:38
"8",131133,6875,2016-04-26 13:24:33,2016-07-05 16:04:56
"9",131134,1870,2016-04-26 00:08:09,2016-05-12 11:31:27
"10",131136,6092,2016-04-26 13:25:00,2016-06-29 18:11:19
"11",154187,1836,2016-03-21 20:05:15,2016-04-02 16:10:26
