"parameter","Behavior","sub_state","mean","upper","lower"
"alpha","1",NA,0.405,0.649,0.188
"alpha","2",NA,0.178,0.272,0.091
"depth_mu","1","1",30.186,32.175,28.225
"depth_mu","1","2",0,0,0
"depth_mu","2","1",122.579,134.608,111.771
"depth_mu","2","2",20.64,21.793,19.815
"depth_tau","1","1",0.003,0.003,0.003
"depth_tau","1","2",0.01,0.01,0.01
"depth_tau","2","1",0,0,0
"depth_tau","2","2",0.007,0.009,0.006
"gamma","1",NA,0.817,0.941,0.651
"gamma","2",NA,0.263,0.527,0.074
"sub_alpha","1","1",1,1,1
"sub_alpha","1","2",0,0,0
"sub_alpha","2","1",0.949,0.961,0.934
"sub_alpha","2","2",0.039,0.049,0.029
